Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,mbti_type,text_sample
5,3,5,3,4,3,5,5,3,2,1,5,4,4,5,ENFJ,I am empathetic and charismatic and I naturally take on the role of mentor or guide.
1,2,2,1,4,5,3,5,1,4,1,2,1,2,2,INFP,I like exploring philosophical questions about identity meaning and human connection.
1,1,1,1,2,3,1,4,4,3,3,2,1,1,2,ISTP,I like troubleshooting technical systems and finding practical efficient solutions.
2,2,1,5,2,3,3,1,1,1,1,2,2,1,1,ISFP,I like creative hands on activities and expressing my feelings through visual art.
5,3,4,3,5,5,5,4,3,4,5,4,4,4,5,ENTJ,I am confident and decisive and I enjoy taking charge of situations that require strong leadership.
3,4,5,4,2,2,1,3,1,2,3,3,5,5,5,ESFJ,I prefer structured environments where I can contribute to the wellbeing of a community.
5,4,4,4,5,1,2,1,2,2,3,1,3,2,1,ESFP,I am adaptable and spontaneous and I prefer variety and excitement over routine.
5,5,5,5,1,3,1,1,5,5,5,1,1,1,1,ESTP,I am bold and energetic and I enjoy jumping into action without overthinking.
2,2,1,1,2,2,1,1,3,1,1,1,3,2,4,ISFP,I like creative hands on activities and expressing my feelings through visual art.
4,3,5,4,3,2,1,3,4,3,5,2,1,1,3,ESTP,I am observant and resourceful and I find practical solutions to problems on the spot.
2,2,1,1,2,4,5,5,4,5,4,1,1,3,1,INTP,I enjoy logic puzzles theoretical debates and understanding underlying principles.
3,1,2,2,2,1,2,1,2,2,3,1,1,1,1,ISFP,I value kindness beauty and helping others in quiet behind the scenes ways.
2,3,2,2,1,2,4,3,3,4,5,5,5,5,3,ISTJ,I am reliable organised and prefer clear procedures and structured environments.
2,2,1,1,5,5,4,4,2,3,1,1,1,1,3,INFP,I like exploring philosophical questions about identity meaning and human connection.
5,4,5,4,1,2,1,2,4,3,5,2,1,1,2,ESTP,I am observant and resourceful and I find practical solutions to problems on the spot.
5,2,5,4,4,4,3,2,3,1,2,1,2,2,4,ENFP,I enjoy working on creative projects that allow me to express my imagination and enthusiasm.
2,1,3,4,3,3,4,4,5,3,4,1,3,2,1,INTP,I like working independently on open ended intellectual problems with no fixed answer.
5,5,4,5,3,4,2,3,5,2,5,1,1,3,3,ESTP,I like working in dynamic environments where I can respond quickly to changing situations.
2,3,2,3,5,3,5,5,5,1,2,3,3,5,4,INFJ,I often sense what others are feeling before they say it and try to support them quietly.
1,2,2,1,5,4,4,5,2,4,4,1,2,3,3,INTP,I like to analyse systems and find innovative conceptual solutions.
5,5,4,5,4,2,5,3,1,2,2,3,3,5,5,ENFJ,I find deep satisfaction in seeing others grow and succeed because of my support.
1,2,2,1,4,5,4,4,1,1,1,4,3,3,4,INFJ,I enjoy writing and reflecting on ideas that connect personal values to broader human themes.
5,5,5,3,3,1,2,1,4,5,4,3,2,5,3,ESTJ,I am direct and confident and I prefer straightforward communication over ambiguity.
3,1,2,2,4,4,5,5,3,4,5,1,1,2,2,INTP,I am fascinated by theories and enjoy spending hours thinking through complex problems alone.
5,3,4,4,1,3,1,2,1,5,5,4,4,5,5,ESTJ,I like establishing clear processes enforcing standards and delivering reliable results.
1,2,1,1,2,1,2,2,5,4,3,3,3,3,3,ISTJ,I value responsibility consistency and working systematically through detailed tasks.
5,4,2,5,3,5,2,5,3,5,4,2,1,1,1,ENTP,I like entrepreneurial ventures innovation and rapidly generating novel concepts.
2,4,4,5,2,1,3,4,2,2,1,5,4,4,5,ESFJ,I am attentive to the needs of others and enjoy providing practical support and care.
1,1,3,1,5,4,5,5,1,1,1,5,5,2,4,INFJ,I like helping individuals find clarity and direction in their lives through thoughtful guidance.
4,5,2,4,1,2,1,1,4,5,5,2,2,2,2,ESTP,I am bold and energetic and I enjoy jumping into action without overthinking.
5,3,3,3,2,2,1,3,5,4,4,1,3,3,2,ESTP,I enjoy action oriented challenges negotiation and persuading others with direct energy.
2,2,1,3,1,1,2,1,2,4,1,2,2,2,2,ISFP,I enjoy spending time in nature and find inspiration in the beauty of everyday experiences.
2,2,2,2,3,2,4,3,1,2,2,5,4,2,5,ISFJ,I like routine and dependable work that allows me to support and protect others.
4,5,5,5,2,3,3,1,2,1,1,4,4,5,3,ESFJ,I find satisfaction in maintaining harmony and helping groups work together effectively.
4,1,2,1,4,2,4,3,4,5,5,2,5,5,3,INTJ,I am drawn to long range strategy and enjoy working alone on intellectually demanding tasks.
5,3,5,2,3,3,4,5,3,5,4,5,4,3,5,ENTJ,I like setting high standards and pushing teams to achieve results that exceed expectations.
4,2,1,2,4,4,5,2,5,3,3,4,5,4,3,INTJ,I like to understand the underlying logic of systems and improve them through careful analysis.
1,4,1,2,2,3,5,5,4,5,5,1,1,2,1,INTP,I like to analyse systems and find innovative conceptual solutions.
2,2,1,1,3,2,1,1,5,3,4,4,3,3,2,ISTP,I like to observe situations carefully before acting and prefer practical solutions over theory.
2,3,1,2,3,5,5,5,3,5,3,1,1,2,3,INTP,I like to analyse systems and find innovative conceptual solutions.
5,4,3,4,1,4,1,3,5,5,2,4,5,4,5,ESTJ,I prefer clear hierarchies and well defined roles and I hold myself and others accountable.
1,1,1,1,3,5,3,2,1,1,2,2,1,2,3,INFP,I value creativity self expression and authentic connections with people around me.
4,5,3,5,3,3,2,3,5,5,4,5,4,5,4,ESTJ,I enjoy leading projects coordinating logistics and maintaining productive structured teams.
1,2,1,2,2,2,3,2,1,1,3,5,5,3,4,ISFJ,I am patient and thorough and I like to make sure everyone feels included and supported.
5,5,5,4,1,1,2,3,5,5,5,2,3,2,1,ESTP,I like working in dynamic environments where I can respond quickly to changing situations.
3,3,2,2,2,3,2,2,5,5,4,5,3,4,5,ISTJ,I take my commitments seriously and always follow through on what I promise.
4,2,2,3,3,1,2,2,1,3,2,4,4,5,4,ISFJ,I am caring supportive and dedicated to helping others in practical everyday ways.
4,4,2,3,2,2,3,2,2,4,2,2,2,3,4,ESFP,I like working with people and find satisfaction in making others laugh and feel good.
5,5,5,5,2,3,2,1,4,5,4,3,1,1,3,ESTP,I am bold and energetic and I enjoy jumping into action without overthinking.
5,1,3,4,3,1,3,1,2,1,1,4,3,5,5,ESFJ,I like working with people creating welcoming environments and fulfilling social duties.
5,5,3,4,3,4,3,5,1,3,1,5,5,4,5,ENFJ,I find deep satisfaction in seeing others grow and succeed because of my support.
1,1,1,3,4,4,3,4,4,4,5,5,2,5,3,INTJ,I find satisfaction in mastering complex subjects and applying them to build better systems.
3,1,3,1,1,2,3,1,1,3,2,2,2,1,1,ISFP,I like working on creative projects that allow me to express my personal aesthetic.
4,3,5,5,5,5,3,4,4,2,1,1,3,3,1,ENFP,I like exploring many different possibilities and I often pursue multiple interests at once.
5,5,4,5,3,4,4,4,4,5,4,4,5,5,5,ENTJ,I like organising people resources and processes to achieve maximum efficiency.
4,5,5,4,2,3,1,2,4,4,3,2,3,2,2,ESTP,I am observant and resourceful and I find practical solutions to problems on the spot.
1,2,3,2,1,1,1,1,5,5,5,4,3,3,4,ISTJ,I like working with facts and data and prefer proven methods over experimental approaches.
1,2,3,3,3,3,5,2,2,1,3,3,3,5,5,INFJ,I enjoy writing and reflecting on ideas that connect personal values to broader human themes.
1,3,2,2,1,2,2,1,4,4,4,4,5,5,3,ISTJ,I like working with facts and data and prefer proven methods over experimental approaches.
1,2,2,1,1,2,1,2,1,2,3,5,5,3,5,ISFJ,I prefer stable predictable environments where I can focus on helping those around me.
3,5,1,3,2,2,1,2,1,1,2,2,1,1,1,ESFP,I like people centred work that lets me express enthusiasm and bring joy to others.
2,1,3,2,2,3,1,1,1,1,2,2,1,3,4,ISFP,I enjoy spending time in nature and find inspiration in the beauty of everyday experiences.
5,4,5,2,2,3,4,5,3,3,5,1,1,3,1,ENTP,I like to question the status quo and find better more innovative ways of doing things.
2,1,1,1,4,3,5,4,2,3,5,1,1,2,1,INFP,I value creativity self expression and authentic connections with people around me.
4,3,1,1,3,1,2,2,5,2,4,2,2,3,2,ISTP,I enjoy hands on problem solving working with tools and understanding how things work.
3,5,4,5,1,1,2,3,4,2,2,4,3,4,5,ESFJ,I find satisfaction in maintaining harmony and helping groups work together effectively.
5,3,5,5,3,4,5,5,2,2,4,5,3,4,5,ENFJ,I find deep satisfaction in seeing others grow and succeed because of my support.
1,3,2,1,2,1,1,1,4,4,5,3,1,2,1,ISTP,I am calm under pressure and enjoy figuring out how mechanical or technical systems operate.
2,1,1,2,4,5,5,4,1,4,1,4,3,5,5,INFJ,I enjoy writing and reflecting on ideas that connect personal values to broader human themes.
4,3,5,3,5,5,4,4,3,3,4,5,2,5,4,ENTJ,I am direct and assertive and I prefer to make decisions quickly based on logic and data.
2,5,4,5,5,4,5,5,2,3,3,1,3,1,4,ENFP,I enjoy exploring possibilities meeting diverse people and inspiring others with ideas.
4,3,3,5,3,4,3,5,4,5,4,3,4,4,5,ENTJ,I thrive in competitive environments and enjoy the challenge of leading large scale initiatives.
1,4,1,1,5,5,4,3,2,3,3,3,4,3,5,INFJ,I am driven by a sense of purpose and want my work to contribute to something meaningful.
2,1,1,2,5,5,5,5,3,4,4,5,4,5,4,INTJ,I enjoy designing systems and thinking critically about theoretical frameworks.
5,5,5,5,3,3,5,4,5,4,4,1,2,1,2,ENTP,I am energised by intellectual debate and enjoy challenging assumptions with counterarguments.
3,5,5,5,5,3,5,1,1,1,1,5,3,5,5,ENFJ,I am empathetic and charismatic and I naturally take on the role of mentor or guide.
4,3,2,4,5,3,5,3,4,5,3,5,5,5,4,ENTJ,I am confident and decisive and I enjoy taking charge of situations that require strong leadership.
4,4,5,5,1,2,2,3,1,3,3,1,2,1,2,ESFP,I enjoy performing collaborating in lively teams and bringing fun to every situation.
3,4,4,5,2,1,1,1,5,4,5,4,3,2,2,ESTP,I like working in dynamic environments where I can respond quickly to changing situations.
4,5,4,2,3,4,3,2,2,3,2,5,4,5,3,ENFJ,I find deep satisfaction in seeing others grow and succeed because of my support.
4,3,4,3,4,4,5,5,5,2,5,4,3,5,4,ENTJ,I thrive in competitive environments and enjoy the challenge of leading large scale initiatives.
